,Unnamed: 0,movie_id,title,year,rating,votes_x,genres,imdb_title_id,weighted_average_vote,total_votes,mean_vote,median_vote,votes_10,votes_9,votes_8,votes_7,votes_6,votes_5,votes_4,votes_3,votes_2,votes_1,allgenders_0age_avg_vote,allgenders_0age_votes,allgenders_18age_avg_vote,allgenders_18age_votes,allgenders_30age_avg_vote,allgenders_30age_votes,allgenders_45age_avg_vote,allgenders_45age_votes,males_allages_avg_vote,males_allages_votes,males_0age_avg_vote,males_0age_votes,males_18age_avg_vote,males_18age_votes,males_30age_avg_vote,males_30age_votes,males_45age_avg_vote,males_45age_votes,females_allages_avg_vote,females_allages_votes,females_0age_avg_vote,females_0age_votes,females_18age_avg_vote,females_18age_votes,females_30age_avg_vote,females_30age_votes,females_45age_avg_vote,females_45age_votes,top1000_voters_rating,top1000_voters_votes,us_voters_rating,us_voters_votes,non_us_voters_rating,non_us_voters_votes,title_spanish,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes_y,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
0,0,m0,10 Things I Hate About You,1999,6.9,62847.0,['comedy' 'romance'],tt0147800,7.3,289989.0,7.5,7.0,41706.0,33357.0,67431.0,81702.0,39892.0,14758.0,5417.0,2537.0,1476.0,1713.0,7.6,182.0,7.5,73595.0,7.1,122836.0,7.0,19175.0,7.0,122164.0,7.1,57.0,7.2,30341.0,6.9,73006.0,6.8,13178.0,7.7,101958.0,7.9,91.0,7.9,41760.0,7.6,48395.0,7.5,5706.0,6.5,659.0,7.3,55518.0,7.1,124787.0,10 cose che odio di te,1999-08-27,"Comedy, Drama, Romance",97.0,USA,"English, French",Gil Junger,"Karen McCullah, Kirsten Smith",Touchstone Pictures,"Heath Ledger, Julia Stiles, Joseph Gordon-Levitt, Larisa Oleynik, David Krumholtz, Andrew Keegan, Susan May Pratt, Gabrielle Union, Larry Miller, Daryl Mitchell, Allison Janney, David Leisure, Greg Jackson, Kyle Cease, Terence Heuston","A pretty, popular teenager can't go out on a date until her ill-tempered older sister does.",7.3,289989.0,$ 30000000,$ 38178166,$ 53485989,70.0,618.0,129.0
1,1,m1,1492 Conquest Of Paradise,1992,6.2,10421.0,['adventure' 'biography' 'drama' 'history'],tt0103594,6.5,27667.0,6.5,7.0,1628.0,1420.0,3965.0,7833.0,6861.0,3149.0,1316.0,627.0,297.0,571.0,6.5,7.0,6.4,2053.0,6.5,12988.0,6.4,6509.0,6.5,20017.0,6.4,6.0,6.4,1773.0,6.6,11784.0,6.4,5863.0,6.4,1950.0,7.0,1.0,6.3,248.0,6.5,1070.0,6.4,572.0,6.0,367.0,6.2,3369.0,6.5,16233.0,1492 - La conquista del paradiso,1992-10-16,"Adventure, Biography, Drama",154.0,"UK, France, Spain","Spanish, Latin, Arabic, English",Ridley Scott,Rose Bosch,Gaumont,"Gérard Depardieu, Armand Assante, Sigourney Weaver, Loren Dean, Ángela Molina, Fernando Rey, Michael Wincott, Tchéky Karyo, Kevin Dunn, Frank Langella, Mark Margolis, Kario Salem, Billy L. Sullivan, John Heffernan, Arnold Vosloo",Christopher Columbus' discovery of the Americas and the effect this has on the indigenous people.,6.5,27667.0,$ 47000000,$ 7191399,$ 7191399,47.0,96.0,32.0
2,2,m2,15 Minutes,2001,6.1,25854.0,['action' 'crime' 'drama' 'thriller'],tt0179626,6.1,47946.0,6.1,6.0,1407.0,1420.0,5037.0,12108.0,14284.0,7298.0,3211.0,1492.0,825.0,864.0,3.7,3.0,6.2,2044.0,6.1,24939.0,6.1,9557.0,6.1,33983.0,1.0,1.0,6.2,1778.0,6.1,22753.0,6.0,8535.0,6.1,3158.0,5.0,2.0,6.6,244.0,6.0,1918.0,6.2,903.0,5.7,444.0,6.0,8976.0,6.1,25206.0,15 minuti - Follia omicida a New York,2001-03-23,"Action, Crime, Drama",120.0,"USA, Germany","English, Czech, Russian, Greek, Afrikaans",John Herzfeld,John Herzfeld,New Line Cinema,"Robert De Niro, Edward Burns, Kelsey Grammer, Avery Brooks, Melina Kanakaredes, Karel Roden, Oleg Taktarov, Vera Farmiga, John DiResta, James Handy, Darius McCrary, Bruce Cutler, Charlize Theron, Kim Cattrall, David Alan Grier",A homicide detective and a fire marshal must stop a pair of murderers who commit videotaped crimes to become media darlings.,6.1,47946.0,$ 60000000,$ 24403552,$ 56359980,34.0,265.0,153.0
3,3,m3,2001 A Space Odyssey,1968,8.4,163227.0,['adventure' 'mystery' 'sci-fi'],tt0062622,8.3,587866.0,8.1,9.0,179323.0,127280.0,119872.0,70516.0,34708.0,19034.0,10843.0,7885.0,6095.0,12310.0,8.8,410.0,8.4,102135.0,8.2,226276.0,8.2,85362.0,8.3,382097.0,8.9,335.0,8.4,86305.0,8.3,199736.0,8.3,74644.0,7.9,49809.0,8.6,45.0,8.1,14051.0,7.9,23690.0,7.8,9322.0,8.0,836.0,8.3,106812.0,8.3,247638.0,2001: Odissea nello spazio,1968-12-12,"Adventure, Sci-Fi",149.0,"UK, USA","English, Russian",Stanley Kubrick,"Stanley Kubrick, Arthur C. Clarke",Metro-Goldwyn-Mayer (MGM),"Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter, Leonard Rossiter, Margaret Tyzack, Robert Beatty, Sean Sullivan, Douglas Rain, Frank Miller, Bill Weston, Ed Bishop, Glenn Beck, Alan Gifford, Ann Gillis","After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",8.3,587866.0,$ 12000000,$ 60541301,$ 68989547,84.0,2163.0,267.0
4,4,m4,48 Hrs,1982,6.9,22289.0,['action' 'comedy' 'crime' 'drama' 'thriller'],tt0083511,6.9,67647.0,7.0,7.0,3689.0,3924.0,13205.0,25346.0,13777.0,4817.0,1602.0,603.0,333.0,351.0,7.4,12.0,6.8,4316.0,6.8,28755.0,7.1,17904.0,6.9,48600.0,7.3,7.0,6.9,3977.0,6.8,26745.0,7.1,16048.0,6.7,3811.0,6.2,4.0,6.4,300.0,6.5,1716.0,6.9,1625.0,6.9,624.0,7.1,16744.0,6.8,29684.0,48 ore,1983-09-09,"Action, Comedy, Crime",96.0,USA,English,Walter Hill,"Roger Spottiswoode, Walter Hill",Paramount Pictures,"Nick Nolte, Eddie Murphy, Annette O'Toole, Frank McRae, James Remar, David Patrick Kelly, Sonny Landham, Brion James, Kerry Sherman, Jonathan Banks, James Keane, Tara King, Greta Blackburn, Margot Rose, Denise Crosby","A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him, in order to track down a killer.",6.9,67647.0,$ 12000000,$ 78868508,$ 78868508,71.0,141.0,95.0
5,5,m5,The Fifth Element,1997,7.5,133756.0,['action' 'adventure' 'romance' 'sci-fi' 'thriller'],tt0119116,7.7,425954.0,7.7,8.0,62700.0,68147.0,125302.0,94492.0,40328.0,17422.0,7374.0,4024.0,2565.0,3600.0,7.0,92.0,7.5,54455.0,7.7,204695.0,7.7,59903.0,7.6,276825.0,6.9,73.0,7.4,42494.0,7.7,170758.0,7.7,50878.0,7.9,53347.0,7.1,9.0,7.8,11168.0,7.9,31463.0,7.9,8079.0,7.5,825.0,7.7,78559.0,7.6,197776.0,Il quinto elemento,1997-10-30,"Action, Adventure, Sci-Fi",126.0,"France, UK, USA","English, Swedish, German, Arabic, Egyptian (Ancient)",Luc Besson,"Luc Besson, Robert Mark Kamen",Columbia Pictures,"Bruce Willis, Gary Oldman, Ian Holm, Milla Jovovich, Chris Tucker, Luke Perry, Brion James, Tommy 'Tiny' Lister, Lee Evans, Charlie Creed-Miles, Tricky, John Neville, John Bluthal, Mathieu Kassovitz, Christopher Fairbank","In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay.",7.7,425954.0,$ 93000000,$ 63820180,$ 264029966,52.0,859.0,184.0
6,6,m6,8Mm,1999,6.3,48212.0,['crime' 'mystery' 'thriller'],tt0134273,6.5,121728.0,6.5,7.0,5391.0,6364.0,20150.0,35848.0,27937.0,12739.0,5881.0,3089.0,1971.0,2358.0,6.9,6.0,6.6,7952.0,6.6,66756.0,6.4,20614.0,6.5,85416.0,7.8,4.0,6.6,6752.0,6.6,58265.0,6.4,17685.0,6.5,11912.0,6.0,1.0,6.6,1086.0,6.6,7780.0,6.4,2632.0,6.2,605.0,6.3,23030.0,6.6,63252.0,8mm - Delitto a luci rosse,1999-04-16,"Crime, Drama, Mystery",123.0,"Germany, USA",English,Joel Schumacher,Andrew Kevin Walker,Columbia Pictures,"Nicolas Cage, Joaquin Phoenix, James Gandolfini, Peter Stormare, Anthony Heald, Chris Bauer, Catherine Keener, Myra Carter, Amy Morton, Jenny Powell, Anne Gee Byrd, Jack Betts, Luis Oropeza, Rachel Singer, Don Creech","A private investigator is hired to discover if a ""snuff film"" is authentic or not.",6.5,121728.0,$ 40000000,$ 36663315,$ 96618699,19.0,617.0,118.0
7,7,m7,A Nightmare On Elm Street 4 The Dream Master,1988,5.2,13590.0,['fantasy' 'horror' 'thriller'],tt0095742,5.7,48709.0,5.9,6.0,3361.0,1313.0,3573.0,7611.0,12180.0,11086.0,5277.0,2330.0,1100.0,878.0,5.6,32.0,5.7,6684.0,5.7,23520.0,5.5,6602.0,5.6,32967.0,5.4,26.0,5.6,5535.0,5.7,20315.0,5.5,5710.0,6.0,5045.0,6.0,4.0,5.9,1037.0,6.0,2943.0,5.8,812.0,5.4,504.0,5.8,12189.0,5.6,20487.0,Nightmare 4 - Il non risveglio,1989-02-24,Horror,93.0,USA,English,Renny Harlin,"Wes Craven, William Kotzwinkle",New Line Cinema,"John Beckman, Kisha Brackel, Brooke Bundy, Wanda Bursey, Hope Marie Carlton, Kristen Clayton, Duane Davis, Rodney Eastman, Robert Englund, Richard Garrison, Danny Hassel, Andras Jones, Tuesday Knight, Jeff Levine, Joanna Lipari","Freddy Krueger returns once again to terrorize the dreams of the remaining Dream Warriors, as well as those of a young woman who may be able to defeat him for good.",5.7,48709.0,$ 13000000,$ 49369899,$ 49369899,56.0,299.0,132.0
8,8,m8,A Nightmare On Elm Street The Dream Child,1989,4.7,11092.0,['fantasy' 'horror' 'thriller'],tt0097981,5.2,39826.0,5.3,5.0,2221.0,663.0,1858.0,4265.0,7766.0,10469.0,6454.0,3257.0,1623.0,1250.0,4.7,29.0,5.1,5680.0,5.2,19403.0,5.1,5122.0,5.1,27152.0,4.5,24.0,5.0,4748.0,5.1,16863.0,5.0,4407.0,5.6,3998.0,6.0,4.0,5.4,841.0,5.6,2331.0,5.5,641.0,4.8,485.0,5.2,9868.0,5.1,16972.0,Nightmare 5 - Il mito,1989-08-11,"Fantasy, Horror",89.0,USA,English,Stephen Hopkins,"Wes Craven, John Skipp",New Line Cinema,"Robert Englund, Lisa Wilcox, Kelly Jo Minter, Danny Hassel, Erika Anderson, Nicholas Mele, Joe Seely, Valorie Armstrong, Burr DeBenning, Clarence Felder, Michael Ashton, Beatrice Boepple, Matt Borlenghi, Noble Craig, E.R. Davies","The pregnant Alice finds Freddy Krueger striking through the sleeping mind of her unborn child, hoping to be reborn into the real world.",5.2,39826.0,$ 6000000,$ 22168359,$ 22168359,54.0,264.0,108.0
9,9,m9,The Atomic Submarine,1959,4.9,513.0,['sci-fi' 'thriller'],tt0052587,5.2,1352.0,5.3,5.0,57.0,22.0,52.0,159.0,288.0,377.0,208.0,102.0,56.0,31.0,4.0,1.0,5.3,49.0,5.2,406.0,5.2,646.0,5.2,1043.0,,,5.3,43.0,5.3,378.0,5.1,605.0,5.4,62.0,4.0,1.0,6.5,5.0,5.3,23.0,5.6,32.0,4.7,132.0,5.3,639.0,5.0,419.0,La guerra di domani,1959-11-29,"Sci-Fi, Thriller",72.0,USA,English,Spencer Gordon Bennet,Orville H. Hampton,Gorham Productions,"Arthur Franz, Dick Foran, Brett Halsey, Tom Conway, Paul Dubov, Bob Steele, Victor Varconi, Joi Lansing, Selmer Jackson, Jack Mulhall, Jean Moorhead, Richard Tyler, Kenneth Becker, Sid Melton, Frank Watkins","Ships mysteriously disappear on route across the Arctic Sea, and a specially-equipped submarine is sent to investigate.",5.2,1352.0,$ 135000,,,,54.0,34.0
10,10,m10,Affliction,1997,6.9,7252.0,['drama' 'mystery' 'thriller'],tt0118564,7.0,14787.0,7.0,7.0,1033.0,1413.0,3420.0,4186.0,2368.0,1160.0,533.0,284.0,148.0,242.0,8.0,1.0,7.2,787.0,7.0,5694.0,6.9,4622.0,7.0,10083.0,8.0,1.0,7.2,714.0,7.0,5162.0,6.9,3974.0,6.9,1164.0,,,7.3,68.0,6.8,477.0,7.0,590.0,6.6,319.0,7.1,4725.0,6.9,5896.0,Affliction,1999-04-02,"Drama, Mystery, Thriller",114.0,"USA, Canada, Japan",English,Paul Schrader,"Russell Banks, Paul Schrader",JVC Entertainment Networks,"Nick Nolte, Brigid Tierney, Holmes Osborne, Jim True-Frost, Tim Post, Christopher Heyerdahl, Marian Seldes, Janine Theriault, Mary Beth Hurt, Paul Stewart, Sissy Spacek, Wayne Robson, Sean McCann, Sheena Larkin, Penny Mancuso",A deeply troubled small-town cop investigates a suspicious hunting death while other events jeopardize his sanity.,7.0,14787.0,$ 6000000,$ 6330054,$ 6330054,79.0,176.0,70.0
11,11,m11,Air Force One,1997,6.3,61978.0,['action' 'drama' 'thriller'],tt0118571,6.5,176882.0,6.6,7.0,8542.0,8850.0,26153.0,52881.0,45072.0,18878.0,7733.0,3793.0,2258.0,2722.0,6.7,31.0,6.7,18388.0,6.4,84989.0,6.5,29878.0,6.5,121669.0,6.8,24.0,6.7,16209.0,6.4,75107.0,6.4,25428.0,6.6,15694.0,7.0,3.0,6.8,1971.0,6.5,8980.0,6.8,4047.0,6.4,717.0,6.8,41315.0,6.3,77834.0,Air Force One,1997-09-19,"Action, Drama, Thriller",124.0,"USA, Germany","English, Russian",Wolfgang Petersen,Andrew W. Marlowe,Columbia Pictures,"Harrison Ford, Gary Oldman, Glenn Close, Wendy Crewson, Liesel Matthews, Paul Guilfoyle, Xander Berkeley, William H. Macy, Dean Stockwell, Tom Everett, Jürgen Prochnow, Donna Bullock, Michael Ray Miller, Carl Weintraub, Elester Latham","Communist Radicals hijack Air Force One with The U.S. President and his family on board. The Vice President negotiates from Washington D.C., while the President, a Veteran, fights to rescue the hostages on board.",6.5,176882.0,$ 85000000,$ 172956409,$ 315156409,61.0,439.0,137.0
12,12,m12,Airplane Ii The Sequel,1982,5.8,15210.0,['comedy' 'romance' 'sci-fi'],tt0083530,6.2,48055.0,6.2,6.0,2295.0,1873.0,5114.0,11047.0,13662.0,7728.0,3366.0,1505.0,806.0,659.0,6.1,14.0,6.2,4598.0,6.1,20016.0,6.2,11343.0,6.2,34007.0,6.2,10.0,6.1,4079.0,6.1,18329.0,6.2,10257.0,6.1,2988.0,5.5,2.0,6.3,460.0,6.1,1469.0,5.9,939.0,6.0,558.0,6.1,11708.0,6.2,20768.0,L'aereo più pazzo del mondo... sempre più pazzo,1982-12-10,"Comedy, Sci-Fi",85.0,USA,English,Ken Finkleman,Ken Finkleman,Paramount Pictures,"Lloyd Bridges, Raymond Burr, Chuck Connors, Rip Torn, John Dehner, Chad Everett, Peter Graves, Julie Hagerty, Robert Hays, Kent McCord, James A. Watson Jr., William Shatner, Stephen Stucker, John Vernon, Al White",A faulty computer causes a passenger space shuttle to head straight for the Sun. Can Ted Striker save the day and get the shuttle back on track - again?,6.2,48055.0,$ 15000000,$ 27150534,$ 27150534,48.0,143.0,25.0
13,13,m13,Airplane,1980,7.8,57692.0,['comedy' 'romance'],tt0080339,7.7,208636.0,7.8,8.0,33233.0,34309.0,62932.0,44862.0,18985.0,7282.0,3017.0,1641.0,1048.0,1327.0,8.0,109.0,7.7,35046.0,7.6,85756.0,7.9,34915.0,7.7,141593.0,8.0,83.0,7.8,29938.0,7.7,75230.0,7.9,30179.0,7.4,19255.0,7.6,12.0,7.4,4624.0,7.4,9543.0,7.6,4228.0,7.6,782.0,8.0,53475.0,7.5,85008.0,L'aereo più pazzo del mondo,1980-10-30,Comedy,88.0,USA,English,"Jim Abrahams, David Zucker","Jim Abrahams, David Zucker",Paramount Pictures,"Kareem Abdul-Jabbar, Lloyd Bridges, Peter Graves, Julie Hagerty, Robert Hays, Leslie Nielsen, Lorna Patterson, Robert Stack, Stephen Stucker, Otto, Jim Abrahams, Frank Ashmore, Jonathan Banks, Craig Berenson, Barbara Billingsley",A man afraid to fly must ensure that a plane lands safely after the pilots become sick.,7.7,208636.0,$ 3500000,$ 83453539,$ 83453539,78.0,508.0,134.0
14,14,m14,Alien Nation,1988,6.1,5590.0,['crime' 'drama' 'sci-fi' 'thriller'],tt0094631,6.3,13898.0,6.4,6.0,511.0,470.0,1647.0,3856.0,4150.0,1919.0,741.0,318.0,121.0,165.0,,,6.2,338.0,6.2,5076.0,6.4,5377.0,6.3,9962.0,,,6.2,293.0,6.2,4613.0,6.4,4782.0,6.7,1001.0,,,6.3,41.0,6.5,394.0,6.9,539.0,5.8,348.0,6.5,4334.0,6.2,5750.0,Alien nation,1989-02-03,"Action, Sci-Fi",91.0,USA,English,Graham Baker,Rockne S. O'Bannon,American Entertainment Partners II L.P.,"James Caan, Mandy Patinkin, Terence Stamp, Kevyn Major Howard, Leslie Bevis, Peter Jason, Conrad Dunn, Jeff Kober, Roger Aaron Brown, Tony Simotes, Michael David Simms, Ed Krieger, Tony Perez, Brian Thompson, Francis X. McCarthy","In 1988, Earth makes the first contact with an alien civilization. In 1991, these aliens, known as Newcomers, slowly begin to be integrated into human society after three years of quarantine.",6.3,13898.0,$ 16000000,$ 25216243,$ 32155047,45.0,60.0,52.0
15,15,m15,Aliens,1986,8.5,173518.0,['action' 'sci-fi' 'thriller'],tt0090605,8.3,639500.0,8.3,8.0,148757.0,167018.0,178081.0,89442.0,30242.0,11802.0,5202.0,2747.0,1936.0,4273.0,8.3,293.0,8.2,88298.0,8.4,275633.0,8.5,96499.0,8.4,428635.0,8.3,229.0,8.2,76470.0,8.4,244331.0,8.5,83464.0,8.1,53303.0,7.9,43.0,7.9,10646.0,8.1,28053.0,8.3,11585.0,8.3,874.0,8.5,118040.0,8.3,275270.0,Aliens - Scontro finale,1986-09-24,"Action, Adventure, Sci-Fi",137.0,"USA, UK",English,James Cameron,"James Cameron, David Giler",Twentieth Century Fox,"Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser, Lance Henriksen, Bill Paxton, William Hope, Jenette Goldstein, Al Matthews, Mark Rolston, Ricco Ross, Colette Hiller, Daniel Kash, Cynthia Dale Scott, Tip Tipping","Ellen Ripley is rescued by a deep salvage team after being in hypersleep for 57 years. The moon that the Nostromo visited has been colonized, but contact is lost. This time, colonial marines have impressive firepower, but will that be enough?",8.3,639500.0,$ 18500000,$ 85160248,$ 131384634,84.0,1302.0,310.0
16,16,m16,Amadeus,1984,8.4,99138.0,['biography' 'drama' 'music'],tt0086879,8.3,361028.0,8.3,8.0,81475.0,92337.0,100945.0,52061.0,17617.0,7229.0,3342.0,1726.0,1199.0,3097.0,8.5,175.0,8.4,60770.0,8.3,140036.0,8.3,61341.0,8.3,216838.0,8.6,127.0,8.4,45208.0,8.3,111462.0,8.3,49359.0,8.3,55434.0,8.1,33.0,8.3,14641.0,8.3,26845.0,8.4,11016.0,7.9,729.0,8.4,71152.0,8.3,153953.0,Amadeus,1985-02-15,"Biography, Drama, History",160.0,"USA, France, Czechoslovakia, Italy","English, Italian, Latin, German",Milos Forman,"Peter Shaffer, Peter Shaffer",AMLF,"F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice, Simon Callow, Christine Ebersole, Jeffrey Jones, Charles Kay, Kenneth McMillan, Kenny Baker, Lisbeth Bartlett, Barbara Bryne, Martin Cavina, Roderick Cook, Milan Demjanenko","The life, success and troubles of",8.3,361028.0,$ 18000000,$ 51973029,$ 52066791,88.0,643.0,114.0
17,17,m17,An American Werewolf In London,1981,7.5,24443.0,['horror' 'romance'],tt0082010,7.5,89519.0,7.6,8.0,10832.0,12478.0,26785.0,22960.0,9891.0,3519.0,1424.0,724.0,368.0,538.0,7.5,29.0,7.5,11091.0,7.5,36062.0,7.7,20249.0,7.6,60557.0,7.5,21.0,7.5,9201.0,7.5,31293.0,7.7,17587.0,7.4,8934.0,6.4,6.0,7.2,1741.0,7.3,4379.0,7.6,2393.0,7.3,650.0,7.7,23045.0,7.4,37397.0,Un lupo mannaro americano a Londra,1981-12-19,"Comedy, Horror",97.0,"UK, USA",English,John Landis,John Landis,Polygram Pictures,"Joe Belcher, David Naughton, Griffin Dunne, David Schofield, Brian Glover, Lila Kaye, Rik Mayall, Sean Baker, Paddy Ryan, Jenny Agutter, Anne-Marie Davies, John Woodvine, Frank Oz, Don McKillop, Paul Kember",Two American college students on a walking tour of Britain are attacked by a werewolf that none of the locals will admit exists.,7.5,89519.0,$ 10000000,$ 30565292,$ 30565292,60.0,400.0,248.0
18,18,m18,American Madness,1932,7.4,702.0,['drama'],tt0022626,7.4,1782.0,7.5,7.0,146.0,174.0,566.0,598.0,200.0,52.0,20.0,6.0,7.0,13.0,7.0,1.0,7.5,84.0,7.4,572.0,7.3,759.0,7.4,1262.0,7.0,1.0,7.5,72.0,7.4,491.0,7.3,670.0,7.3,169.0,,,7.4,12.0,7.1,73.0,7.5,82.0,7.1,171.0,7.4,654.0,7.3,714.0,La follia della metropoli,1932-08-15,Drama,75.0,USA,English,"Frank Capra, Allan Dwan",Robert Riskin,Columbia Pictures,"Walter Huston, Pat O'Brien, Kay Johnson, Constance Cummings, Gavin Gordon, Arthur Hoyt, Robert Emmett O'Connor","Socially-conscious banker Thomas Dickson faces a crisis when his protégé is wrongly accused for robbing the bank, gossip of the robbery starts a bank run, and evidence suggests Dickson's wife had an affair...all in the same day.",7.4,1782.0,,,,,35.0,21.0
19,19,m19,American Outlaws,2001,5.7,7425.0,['action' 'western'],tt0244000,6.0,13782.0,6.2,6.0,1136.0,611.0,1518.0,2874.0,3332.0,1979.0,951.0,560.0,345.0,476.0,6.7,3.0,6.4,1024.0,6.0,7191.0,5.8,2471.0,5.9,8796.0,6.5,2.0,6.2,771.0,5.9,5705.0,5.8,2063.0,6.6,2101.0,7.0,1.0,7.1,243.0,6.6,1410.0,6.2,380.0,5.3,268.0,5.9,4115.0,6.0,5825.0,Gli ultimi fuorilegge,2002-03-01,"Action, Western",94.0,USA,English,Les Mayfield,"Roderick Taylor, Roderick Taylor",Morgan Creek Entertainment,"Colin Farrell, Scott Caan, Ali Larter, Gabriel Macht, Gregory Smith, Harris Yulin, Kathy Bates, Timothy Dalton, Will McCormack, Ronny Cox, Terry O'Quinn, Nathaniel Arcand, Ty O'Neal, Joe Stevens, Barry Tubb",5 Southern friends return home when the war ends 1865. But Yankee soldiers and Pinkerton are busy helping a railroad baron grab land from farmers along the planned railroad west. The 5 friends fight back.,6.0,13782.0,$ 35000000,$ 13342790,$ 13678913,25.0,169.0,44.0
20,20,m20,American Psycho,2000,7.4,101357.0,['drama' 'thriller'],tt0144084,7.6,473137.0,7.7,8.0,56188.0,74646.0,146604.0,114425.0,45647.0,17309.0,7589.0,4049.0,2685.0,3995.0,7.9,311.0,7.7,111196.0,7.6,207342.0,7.2,35452.0,7.6,303809.0,7.9,226.0,7.7,86410.0,7.6,172233.0,7.2,29517.0,7.5,64157.0,8.1,49.0,7.6,22748.0,7.5,32749.0,7.3,5337.0,7.2,763.0,7.8,81884.0,7.5,217909.0,American Psycho,2001-05-25,"Comedy, Crime, Drama",101.0,"USA, Canada","English, Spanish, Cantonese",Mary Harron,"Bret Easton Ellis, Mary Harron",Am Psycho Productions,"Christian Bale, Justin Theroux, Josh Lucas, Bill Sage, Chloë Sevigny, Reese Witherspoon, Samantha Mathis, Matt Ross, Jared Leto, Willem Dafoe, Cara Seymour, Guinevere Turner, Stephen Bogaert, Monika Meier, Reg E. Cathey","A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",7.6,473137.0,$ 7000000,$ 15070285,$ 34266564,64.0,1267.0,311.0
21,21,m21,Antitrust,2001,6.0,16453.0,['drama' 'thriller'],tt0218817,6.1,28162.0,6.3,6.0,1524.0,1244.0,3412.0,6773.0,7392.0,3962.0,1938.0,900.0,561.0,456.0,10.0,1.0,6.2,1053.0,6.1,15182.0,6.0,5098.0,6.1,18701.0,10.0,1.0,6.2,825.0,6.1,13000.0,6.0,4423.0,6.2,2922.0,,,6.2,218.0,6.1,2022.0,6.3,589.0,5.7,348.0,6.1,6683.0,6.1,13416.0,S.Y.N.A.P.S.E. - Pericolo in rete,2001-04-04,"Action, Crime, Drama",108.0,USA,English,Peter Howitt,Howard Franklin,Metro-Goldwyn-Mayer (MGM),"Ryan Phillippe, Rachael Leigh Cook, Claire Forlani, Tim Robbins, Douglas McFerran, Richard Roundtree, Tygh Runyan, Yee Jee Tso, Nate Dushku, Ned Bellamy, Tyler Labine, Scott Bellis, David Lovgren, Zahf Paroo, Jonathon Young",A computer programmer's dream job at a hot Portland-based firm turns nightmarish when he discovers his boss has a secret and ruthless means of dispatching anti-trust problems.,6.1,28162.0,$ 30000000,$ 11328094,$ 18195610,31.0,225.0,131.0
22,22,m22,Austin Powers International Man Of Mystery,1997,7.1,75240.0,['action' 'adventure' 'comedy' 'crime'],tt0118655,7.0,217740.0,7.1,7.0,16270.0,19000.0,50273.0,71444.0,33214.0,13122.0,5580.0,3097.0,2240.0,3500.0,7.2,76.0,7.0,32780.0,7.0,103368.0,7.0,28160.0,7.1,146304.0,7.1,60.0,7.1,27119.0,7.1,89035.0,7.0,24505.0,6.6,22648.0,7.8,12.0,6.6,5230.0,6.5,13246.0,6.7,3279.0,6.7,742.0,7.2,55695.0,6.9,90723.0,Austin Powers - Il controspione,1997-08-28,"Adventure, Comedy",94.0,USA,English,Jay Roach,Mike Myers,Capella International,"Mike Myers, Elizabeth Hurley, Michael York, Mimi Rogers, Robert Wagner, Seth Green, Fabiana Udenio, Mindy Sterling, Paul Dillon, Charles Napier, Will Ferrell, Joann Richter, Anastasia Sakelaris, Afifi Alaouie, Monet Mazur","A 1960s secret agent is brought out of cryofreeze to oppose his greatest enemy in the 1990s, where his social attitudes are glaringly out of place.",7.0,217740.0,$ 16500000,$ 53883989,$ 67683989,51.0,450.0,120.0
23,23,m23,The Avengers,1998,3.4,21519.0,['action' 'adventure' 'thriller'],tt0118661,3.8,40374.0,3.9,4.0,1116.0,442.0,1031.0,2056.0,3689.0,5850.0,7207.0,6946.0,5586.0,6451.0,3.0,9.0,3.8,1590.0,3.8,18203.0,3.9,10325.0,3.8,26700.0,3.0,6.0,3.7,1273.0,3.7,15734.0,3.9,8954.0,4.2,3923.0,4.5,2.0,4.7,298.0,4.1,2254.0,4.3,1247.0,3.7,473.0,3.7,9358.0,3.8,18748.0,The Avengers - Agenti speciali,1998-10-30,"Action, Adventure, Sci-Fi",89.0,USA,English,Jeremiah S. Chechik,"Sydney Newman, Don MacPherson",Warner Bros.,"Ralph Fiennes, Uma Thurman, Sean Connery, Patrick Macnee, Jim Broadbent, Fiona Shaw, Eddie Izzard, Eileen Atkins, John Wood, Carmen Ejogo, Keeley Hawes, Shaun Ryder, Nicholas Woodeson, Michael Godley, Richard Lumsden",Two British Agents team up to stop Sir August de Wynter from destroying the world with a weather-changing machine.,3.8,40374.0,$ 60000000,$ 23384939,$ 23384939,12.0,471.0,118.0
